SampleID	SampleIDMapping	AnimalName	Institution	Sex	Age	16SDate	CortDate	CortfGCMs	CortGroup	CortGroup_SampleID
#q2:types   categorical categorical categorical categorical categorical categorical categorical categorical categorical categorical
7_S287_L001	7	Apollo	Asheboro	M	5.6	3/24/2018	3/24/2018	12.93	3	3_7
8_S288_L001	8	Apollo	Asheboro	M	5.6	4/15/2018	4/15/2018	11.61	2	2_8
9_S289_L001	9	Apollo	Asheboro	M	5.7	4/30/2018	4/30/2018	12.95	3	3_9
10_S290_L001	10	Apollo	Asheboro	M	5.7	5/14/2018	5/14/2018	10.38	2	2_10
143_S159_L001	143	Apollo	Asheboro	M	5.8	6/11/2018	6/11/2018	11.04	2	2_143
144_S160_L001	144	Apollo	Asheboro	M	5.8	6/24/2018	6/24/2018	11.15	2	2_144
145_S161_L001	145	Apollo	Asheboro	M	5.9	7/8/2018	7/8/2018	11.73	2	2_145
146_S162_L001	146	Apollo	Asheboro	M	5.9	7/23/2018	7/23/2018	9.93	2	2_146
147_S163_L001	147	Apollo	Asheboro	M	5.9	8/4/2018	8/4/2018	16.95	4	4_147
148_S164_L001	148	Apollo	Asheboro	M	6	8/19/2018	8/19/2018	7.76	1	1_148
149_S165_L001	149	Apollo	Asheboro	M	6	8/30/2018	8/30/2018	8.04	1	1_149
14_S295_L001	14	Bomassa	Asheboro	M	5.5	2/7/2018	2/7/2018	24.29	5	5_14
15_S296_L001	15	Bomassa	Asheboro	M	5.6	3/7/2018	3/7/2018	20.7	4	4_15
16_S297_L001	16	Bomassa	Asheboro	M	5.6	3/22/2018	3/22/2018	26.53	5	5_16
17_S298_L001	17	Bomassa	Asheboro	M	5.7	4/4/2018	4/4/2018	18.98	4	4_17
18_S299_L001	18	Bomassa	Asheboro	M	5.7	4/19/2018	4/19/2018	11.2	2	2_18
19_S300_L001	19	Bomassa	Asheboro	M	5.7	4/30/2018	4/30/2018	17.66	4	4_19
20_S301_L001	20	Bomassa	Asheboro	M	5.8	5/15/2018	5/15/2018	19.51	4	4_20
21_S302_L001	21	Bomassa	Asheboro	M	5.8	5/28/2018	5/28/2018	25.22	5	5_21
150_S166_L001	150	Bomassa	Asheboro	M	5.8	6/4/2018	6/4/2018	18.17	4	4_150
151_S167_L001	151	Bomassa	Asheboro	M	5.9	6/24/2018	6/24/2018	10.07	2	2_151
152_S168_L001	152	Bomassa	Asheboro	M	5.9	7/10/2018	7/10/2018	12.54	3	3_152
153_S169_L001	153	Bomassa	Asheboro	M	6	7/22/2018	7/22/2018	16.16	4	4_153
154_S170_L001	154	Bomassa	Asheboro	M	6	8/19/2018	8/19/2018	15.42	3	3_154
155_S171_L001	155	Bomassa	Asheboro	M	6.1	8/30/2018	8/30/2018	16.71	4	4_155
22_S303_L001	22	Cenzoo	Columbia	M	22	2/6/2018	2/6/2018	10.63	2	2_22
23_S304_L001	23	Cenzoo	Columbia	M	22.1	2/27/2018	2/27/2018	7.86	1	1_23
24_S305_L001	24	Cenzoo	Columbia	M	22.1	3/17/2018	3/17/2018	12.36	3	3_24
25_S306_L001	25	Cenzoo	Columbia	M	22.2	3/31/2018	3/31/2018	10.47	2	2_25
26_S307_L001	26	Cenzoo	Columbia	M	22.2	4/10/2018	4/10/2018	8.64	1	1_26
27_S308_L001	27	Cenzoo	Columbia	M	22.2	4/24/2018	4/24/2018	12.28	3	3_27
28_S309_L001	28	Cenzoo	Columbia	M	22.3	5/8/2018	5/8/2018	9.14	1	1_28
29_S310_L001	29	Cenzoo	Columbia	M	22.3	5/23/2018	5/23/2018	10.47	2	2_29
156_S172_L001	156	Cenzoo	Columbia	M	22.4	6/5/2018	6/5/2018	16.55	4	4_156
157_S173_L001	157	Cenzoo	Columbia	M	22.4	6/21/2018	6/24/2018	7.84	1	1_157
158_S174_L001	158	Cenzoo	Columbia	M	22.4	7/5/2018	7/5/2018	17	4	4_158
159_S175_L001	159	Cenzoo	Columbia	M	22.5	7/17/2018	7/17/2018	8.09	1	1_159
160_S176_L001	160	Cenzoo	Columbia	M	22.5	8/7/2018	8/7/2018	7.71	1	1_160
161_S177_L001	161	Cenzoo	Columbia	M	22.5	8/14/2018	8/14/2018	7.78	1	1_161
162_S178_L001	162	Cenzoo	Columbia	M	22.6	8/31/2018	8/31/2018	19.76	4	4_162
30_S311_L001	30	Charlie	Denver	M	21.9	2/1/2018	2/1/2018	16.22	4	4_30
31_S312_L001	31	Charlie	Denver	M	21.9	2/15/2018	2/15/2018	15.76	4	4_31
32_S313_L001	32	Charlie	Denver	M	22	3/2/2018	3/2/2018	20.98	4	4_32
33_S314_L001	33	Charlie	Denver	M	22	3/15/2018	3/15/2018	13.79	3	3_33
36_S316_L001	36	Charlie	Denver	M	22.1	4/12/2018	4/12/2018	13.26	3	3_36
37_S317_L001	37	Charlie	Denver	M	22.1	4/27/2018	4/27/2018	10.58	2	2_37
38_S318_L001	38	Charlie	Denver	M	22.2	5/9/2018	5/9/2018	12.53	3	3_38
163_S193_L001	163	Charlie	Denver	M	22.2	5/22/2018	5/24/2018	18.2	4	4_163
164_S194_L001	164	Charlie	Denver	M	22.2	6/7/2018	6/7/2018	18.42	4	4_164
168_S198_L001	168	Charlie	Denver	M	22.4	8/2/2018	8/1/2018	20.69	4	4_168
169_S199_L001	169	Charlie	Denver	M	22.4	8/16/2018	8/16/2018	18.39	4	4_169
170_S200_L001	170	Charlie	Denver	M	22.5	8/30/2018	8/30/2018	17.54	4	4_170
41_S321_L001	41	Curtis	Denver	M	23.4	2/2/2018	2/1/2018	14.86	3	3_41
42_S322_L001	42	Curtis	Denver	M	23.4	2/15/2018	2/15/2018	15.65	4	4_42
43_S335_L001	43	Curtis	Denver	M	23.5	3/2/2018	3/2/2018	12.51	3	3_43
44_S324_L001	44	Curtis	Denver	M	23.5	3/15/2018	3/15/2018	16.95	4	4_44
39_S319_L001	39	Curtis	Denver	M	23.6	4/12/2018	4/12/2018	8.32	1	1_39
46_S326_L001	46	Curtis	Denver	M	23.6	5/9/2018	5/9/2018	5.3	1	1_46
47_S116_L001	47	Curtis	Denver	M	23.7	5/22/2018	5/24/2018	16.12	4	4_47
172_S202_L001	172	Curtis	Denver	M	23.7	6/7/2018	6/7/2018	13.74	3	3_172
173_S203_L001	173	Curtis	Denver	M	23.8	6/20/2018	6/20/2018	26.33	5	5_173
174_S205_L001	174	Curtis	Denver	M	23.8	7/6/2018	7/6/2018	20.4	4	4_174
50_S329_L001	50	Dembe	Asheboro	M	5.5	2/7/2018	2/7/2018	34.29	5	5_50
48_S327_L001	48	Dembe	Asheboro	M	5.6	3/8/2018	3/8/2018	22.82	5	5_48
49_S328_L001	49	Dembe	Asheboro	M	5.6	3/22/2018	3/22/2018	12.22	3	3_49
51_S330_L001	51	Dembe	Asheboro	M	5.7	4/30/2018	4/30/2018	16.45	4	4_51
52_S331_L001	52	Dembe	Asheboro	M	5.8	5/14/2018	5/14/2018	14.69	3	3_52
53_S332_L001	53	Dembe	Asheboro	M	5.8	5/30/2018	5/30/2018	13.4	3	3_53
179_S210_L001	179	Dembe	Asheboro	M	5.8	6/10/2018	6/10/2018	19.43	4	4_179
180_S211_L001	180	Dembe	Asheboro	M	5.9	6/25/2018	6/25/2018	12.85	3	3_180
181_S212_L001	181	Dembe	Asheboro	M	5.9	7/8/2018	7/8/2018	14.77	3	3_181
182_S213_L001	182	Dembe	Asheboro	M	5.9	7/22/2018	7/22/2018	19.78	4	4_182
183_S214_L001	183	Dembe	Asheboro	M	6	8/2/2018	8/2/2018	16.57	4	4_183
184_S215_L001	184	Dembe	Asheboro	M	6	8/17/2018	8/17/2018	8.95	1	1_184
185_S216_L001	185	Dembe	Asheboro	M	6	8/31/2018	8/31/2018	8.97	1	1_185
54_S333_L001	54	Hadari	Asheboro	M	8.5	2/7/2018	2/8/2018	12.74	3	3_54
55_S334_L001	55	Hadari	Asheboro	M	8.6	3/9/2018	3/9/2018	7.22	1	1_55
56_S323_L001	56	Hadari	Asheboro	M	8.7	3/23/2018	3/23/2018	9.97	2	2_56
57_S336_L001	57	Hadari	Asheboro	M	8.7	4/4/2018	4/4/2018	13.26	3	3_57
58_S337_L001	58	Hadari	Asheboro	M	8.7	4/15/2018	4/15/2018	8.36	1	1_58
59_S338_L001	59	Hadari	Asheboro	M	8.8	4/30/2018	4/30/2018	12.65	3	3_59
60_S339_L001	60	Hadari	Asheboro	M	8.8	5/13/2018	5/13/2018	10.67	2	2_60
61_S340_L001	61	Hadari	Asheboro	M	8.8	5/28/2018	5/28/2018	10.97	2	2_61
186_S217_L001	186	Hadari	Asheboro	M	8.9	6/25/2018	6/25/2018	16.6	4	4_186
187_S218_L001	187	Hadari	Asheboro	M	9	7/9/2018	7/9/2018	8.96	1	1_187
188_S219_L001	188	Hadari	Asheboro	M	9	7/28/2018	7/28/2018	8.96	1	1_188
190_S221_L001	190	Hadari	Asheboro	M	9.1	8/17/2018	8/17/2018	12.32	3	3_190
191_S222_L001	191	Hadari	Asheboro	M	9.1	8/30/2018	8/30/2018	16.41	4	4_191
67_S191_L001	67	Jim	Denver	M	30.5	2/2/2018	2/1/2018	15.28	3	3_67
68_S345_L001	68	Jim	Denver	M	30.6	2/18/2018	2/15/2018	13.01	3	3_68
69_S346_L001	69	Jim	Denver	M	30.6	3/2/2018	3/2/2018	9.67	2	2_69
70_S347_L001	70	Jim	Denver	M	30.6	3/16/2018	3/15/2018	11.05	2	2_70
71_S348_L001	71	Jim	Denver	M	30.7	3/30/2018	3/29/2018	10.22	2	2_71
72_S349_L001	72	Jim	Denver	M	30.7	4/11/2018	4/12/2018	13.18	3	3_72
73_S350_L001	73	Jim	Denver	M	30.8	4/27/2018	4/27/2018	13.41	3	3_73
74_S351_L001	74	Jim	Denver	M	30.8	5/10/2018	5/9/2018	9.15	1	1_74
198_S229_L001	198	Jim	Denver	M	30.8	5/22/2018	5/24/2018	12.16	3	3_198
199_S230_L001	199	Jim	Denver	M	30.9	6/7/2018	6/7/2018	9.45	2	2_199
93_S110_L001	93	Mosuba	Asheboro	M	34.4	3/8/2018	3/8/2018	16.37	4	4_93
94_S111_L001	94	Mosuba	Asheboro	M	34.4	3/23/2018	3/23/2018	13.66	3	3_94
95_S112_L001	95	Mosuba	Asheboro	M	34.5	4/2/2018	4/2/2018	13.83	3	3_95
96_S113_L001	96	Mosuba	Asheboro	M	34.5	4/17/2018	4/17/2018	15.64	4	4_96
97_S114_L001	97	Mosuba	Asheboro	M	34.5	4/29/2018	4/29/2018	16.63	4	4_97
98_S115_L001	98	Mosuba	Asheboro	M	34.6	5/13/2018	5/13/2018	16.18	4	4_98
220_S252_L001	220	Mosuba	Asheboro	M	34.6	6/10/2018	6/10/2018	16.16	4	4_220
221_S253_L001	221	Mosuba	Asheboro	M	34.7	6/24/2018	6/24/2018	11.99	3	3_221
222_S254_L001	222	Mosuba	Asheboro	M	34.8	7/22/2018	7/22/2018	13.77	3	3_222
223_S255_L001	223	Mosuba	Asheboro	M	34.8	8/2/2018	8/2/2018	10.8	2	2_223
224_S256_L001	224	Mosuba	Asheboro	M	34.8	8/17/2018	8/17/2018	15.9	4	4_224
225_S257_L001	225	Mosuba	Asheboro	M	34.9	8/30/2018	8/30/2018	11.17	2	2_225
103_S121_L001	103	Patrick	Columbia	M	27.9	2/16/2018	2/16/2018	9.19	1	1_103
104_S122_L001	104	Patrick	Columbia	M	27.9	3/9/2018	3/9/2018	3.71	1	1_104
105_S123_L001	105	Patrick	Columbia	M	28	3/23/2018	3/23/2018	8.86	1	1_105
106_S124_L001	106	Patrick	Columbia	M	28	4/10/2018	4/10/2018	13.79	3	3_106
107_S125_L001	107	Patrick	Columbia	M	28.1	4/25/2018	4/25/2018	9.88	2	2_107
108_S126_L001	108	Patrick	Columbia	M	28.1	5/9/2018	5/9/2018	11.66	2	2_108
109_S127_L001	109	Patrick	Columbia	M	28.1	5/24/2018	5/25/2018	7.78	1	1_109
230_S262_L001	230	Patrick	Columbia	M	28.2	6/10/2018	6/10/2018	14.47	3	3_230
231_S263_L001	231	Patrick	Columbia	M	28.2	6/19/2018	6/19/2018	20.05	4	4_231
232_S264_L001	232	Patrick	Columbia	M	28.2	7/5/2018	7/5/2018	18.4	4	4_232
233_S265_L001	233	Patrick	Columbia	M	28.3	7/20/2018	7/20/2018	18.76	4	4_233
234_S266_L001	234	Patrick	Columbia	M	28.3	8/6/2018	8/6/2018	32.09	5	5_234
235_S270_L001	235	Patrick	Columbia	M	28.4	8/17/2018	8/17/2018	10.14	2	2_235
236_S271_L001	236	Patrick	Columbia	M	28.4	8/31/2018	8/31/2018	10.04	2	2_236
